scenario,plan,seed,execution_time,timeout
0,1,2,9.593485116958618,600
0,2,4,10.05014419555664,600
0,3,6,9.724768877029419,600
0,4,8,10.349900007247925,600
0,5,10,9.716631412506104,600
1,1,12,82.81201648712158,600
1,2,14,129.3670265674591,600
1,3,16,64.55842781066895,600
1,4,18,96.84332013130188,600
1,5,20,58.38226270675659,600
2,1,22,11.001449823379517,600
2,2,24,10.792773485183716,600
2,3,26,11.343322038650513,600
2,4,28,12.891149997711182,600
2,5,30,10.595397472381592,600
6,1,62,12.808778285980225,600
6,2,64,12.10879921913147,600
6,3,66,13.052260637283325,600
6,4,68,13.226683616638184,600
6,5,70,12.46925401687622,60
7,1,72,66.16861510276794,600
7,2,74,57.597973346710205,600
7,3,76,62.58114171028137,600
7,4,78,66.70863962173462,600
7,5,80,120.3968493938446,600
