scenario,plan,seed,execution_time,timeout
0,1,2,6.227433681488037,600
0,2,4,6.204627752304077,600
0,3,6,6.393949031829834,600
0,4,8,5.542006015777588,600
0,5,10,5.557095527648926,600
1,1,12,196.80066800117493,600
1,2,14,201.4115400314331,600
1,3,16,195.49796152114868,600
1,4,18,194.90618801116943,600
1,5,20,196.73599076271057,600
2,1,22,198.62601590156555,600
2,2,24,216.66925477981567,600
2,3,26,207.81379747390747,600
2,4,28,202.26884245872498,600
2,5,30,199.17726802825928,600
3,1,32,228.4748694896698,600
3,2,34,249.79630064964294,600
3,3,36,6.1046531200408936,600
3,4,38,3.8078420162200928,600
3,5,40,3.933474063873291,600
4,1,42,215.0988519191742,600
4,2,44,228.78949356079102,600
4,3,46,247.6603503227234,600
4,4,48,246.5516321659088,600
4,5,50,226.18095016479492,600
